월(Monthly)	시도명	시군구	관용1	자가용1	영업용1	계1	관용2	자가용2	영업용2	계2	관용3	자가용3	영업용3	계3	관용4	자가용4	영업용4	계4	관용0	자가용0	영업용0	계0
2024-06	충북	단양군	71	11,130	145	11,346	50	456	94	600	114	4,874	385	5,373	4	89	230	323	239	16,549	854	17,642
2024-06	충북	보은군	69	12,083	119	12,271	57	613	89	759	109	6,354	615	7,078	16	74	64	154	251	19,124	887	20,262
2024-06	충북	영동군	86	17,458	117	17,661	58	690	89	837	115	8,226	180	8,521	13	88	41	142	272	26,462	427	27,161
2024-06	충북	옥천군	71	20,084	188	20,343	59	806	83	948	83	8,081	684	8,848	11	173	86	270	224	29,144	1,041	30,409
2024-06	충북	음성군	78	46,804	299	47,181	72	2,080	207	2,359	112	13,753	1,427	15,292	14	224	143	381	276	62,861	2,076	65,213
2024-06	충북	제천시	103	54,574	702	55,379	82	1,697	181	1,960	157	13,703	1,724	15,584	11	346	892	1,249	353	70,320	3,499	74,172
2024-06	충북	증평군	34	17,250	164	17,448	25	536	35	596	31	3,224	583	3,838	7	67	50	124	97	21,077	832	22,006
2024-06	충북	진천군	75	45,112	297	45,484	67	1,494	85	1,646	87	9,294	1,086	10,467	6	215	82	303	235	56,115	1,550	57,900
2024-06	충북	청원군	1	8	0	9	0	3	0	3	0	8	0	8	0	0	0	0	1	19	0	20
2024-06	충북	청주시 상당구	207	87,796	1,061	89,064	115	2,150	368	2,633	176	12,076	1,109	13,361	16	330	265	611	514	102,352	2,803	105,669
2024-06	충북	청주시 서원구	55	84,433	1,724	86,212	125	2,049	842	3,016	65	10,953	1,790	12,808	4	301	211	516	249	97,736	4,567	102,552
2024-06	충북	청주시 청원구	165	91,061	2,376	93,602	122	2,430	547	3,099	128	14,462	2,058	16,648	9	398	190	597	424	108,351	5,171	113,946
2024-06	충북	청주시 흥덕구	133	128,046	4,301	132,480	87	2,975	679	3,741	131	15,801	2,342	18,274	13	547	334	894	364	147,369	7,656	155,389
2024-06	충북	충주시	193	94,244	5,606	100,043	154	2,844	417	3,415	259	20,036	1,790	22,085	29	426	279	734	635	117,550	8,092	126,277
2024-06	충북	계	1,417	725,466	17,226	744,109	1,130	21,585	3,769	26,484	1,646	148,794	16,032	166,472	164	3,364	2,896	6,424	4,357	899,209	39,923	943,489
2024-06	충남	계룡시	77	23,374	62	23,513	38	579	98	715	55	2,268	416	2,739	9	90	33	132	179	26,311	609	27,099
2024-06	충남	공주시	229	42,199	1,344	43,772	120	1,557	372	2,049	224	12,853	671	13,748	24	200	129	353	597	56,809	2,516	59,922
2024-06	충남	금산군	70	20,581	1,573	22,224	45	1,011	233	1,289	94	8,622	600	9,316	7	111	74	192	216	30,325	2,480	33,021
2024-06	충남	논산시	151	45,585	831	46,567	91	2,039	377	2,507	145	15,249	1,079	16,473	29	200	86	315	416	63,073	2,373	65,862
2024-06	충남	당진시	156	84,797	791	85,744	78	2,439	358	2,875	188	19,095	2,328	21,611	17	473	798	1,288	439	106,804	4,275	111,518
2024-06	충남	보령시	132	40,295	528	40,955	73	1,401	180	1,654	183	12,841	545	13,569	32	195	155	382	420	54,732	1,408	56,560
2024-06	충남	부여군	95	23,013	194	23,302	69	1,089	336	1,494	149	11,231	395	11,775	13	85	53	151	326	35,418	978	36,722
2024-06	충남	서산시	172	81,761	1,011	82,944	88	2,457	489	3,034	162	19,043	1,861	21,066	25	396	432	853	447	103,657	3,793	107,897
2024-06	충남	서천군	78	19,621	148	19,847	40	726	115	881	109	7,706	436	8,251	15	87	81	183	242	28,140	780	29,162
2024-06	충남	아산시	189	171,220	2,383	173,792	144	4,750	484	5,378	189	24,300	3,760	28,249	46	686	379	1,111	568	200,956	7,006	208,530
2024-06	충남	예산군	140	34,412	281	34,833	124	1,400	315	1,839	188	11,511	722	12,421	16	195	116	327	468	47,518	1,434	49,420
2024-06	충남	천안시 동남구	110	118,908	1,792	120,810	67	3,805	657	4,529	126	19,752	2,808	22,686	10	519	405	934	313	142,984	5,662	148,959
2024-06	충남	천안시 서북구	167	181,048	1,748	182,963	146	4,431	867	5,444	214	20,937	2,474	23,625	23	577	282	882	550	206,993	5,371	212,914
2024-06	충남	청양군	77	11,440	66	11,583	55	478	61	594	120	6,019	491	6,630	17	65	72	154	269	18,002	690	18,961
2024-06	충남	태안군	83	24,621	194	24,898	45	989	114	1,148	196	10,795	259	11,250	19	137	53	209	343	36,542	620	37,505
2024-06	충남	홍성군	175	42,678	319	43,172	91	1,379	196	1,666	142	12,247	759	13,148	20	226	129	375	428	56,530	1,403	58,361
2024-06	충남	계	2,101	965,553	13,265	980,919	1,314	30,530	5,252	37,096	2,484	214,469	19,604	236,557	322	4,242	3,277	7,841	6,221	1,214,794	41,398	1,262,413
2024-06	전남	강진군	83	12,298	166	12,547	64	503	76	643	100	6,611	735	7,446	10	83	40	133	257	19,495	1,017	20,769
2024-06	전남	고흥군	101	20,762	160	21,023	74	1,024	93	1,191	139	12,652	261	13,052	10	117	42	169	324	34,555	556	35,435
2024-06	전남	곡성군	68	10,548	102	10,718	42	424	61	527	73	5,025	392	5,490	6	52	65	123	189	16,049	620	16,858
2024-06	전남	광양시	92	76,615	837	77,544	69	2,148	277	2,494	88	14,521	3,456	18,065	14	527	1,662	2,203	263	93,811	6,232	100,306
2024-06	전남	구례군	59	9,220	402	9,681	40	396	52	488	77	3,949	205	4,231	4	66	23	93	180	13,631	682	14,493
2024-06	전남	나주시	142	52,409	784	53,335	122	1,887	375	2,384	212	15,544	1,709	17,465	19	350	267	636	495	70,190	3,135	73,820
2024-06	전남	담양군	80	20,201	400	20,681	49	772	264	1,085	78	7,913	1,048	9,039	11	119	147	277	218	29,005	1,859	31,082
2024-06	전남	목포시	117	83,194	2,271	85,582	117	2,659	409	3,185	154	13,051	2,347	15,552	10	325	339	674	398	99,229	5,366	104,993
2024-06	전남	무안군	245	39,371	151	39,767	211	1,480	69	1,760	157	11,812	848	12,817	14	188	120	322	627	52,851	1,188	54,666
2024-06	전남	보성군	76	13,961	153	14,190	52	717	69	838	106	7,931	364	8,401	14	85	50	149	248	22,694	636	23,578
2024-06	전남	순천시	168	123,335	1,848	125,351	133	2,947	600	3,680	194	22,762	2,122	25,078	19	453	932	1,404	514	149,497	5,502	155,513
2024-06	전남	신안군	113	13,949	100,572	114,634	69	652	2,479	3,200	204	9,418	388	10,010	5	147	36	188	391	24,166	103,475	128,032
2024-06	전남	여수시	198	113,467	2,440	116,105	146	3,195	722	4,063	202	21,771	3,523	25,496	16	412	850	1,278	562	138,845	7,535	146,942
2024-06	전남	영광군	79	20,894	142	21,115	47	791	94	932	115	8,145	509	8,769	7	112	50	169	248	29,942	795	30,985
2024-06	전남	영암군	87	24,357	124	24,568	64	1,201	79	1,344	120	11,284	779	12,183	8	209	134	351	279	37,051	1,116	38,446
2024-06	전남	완도군	124	16,111	165	16,400	57	704	105	866	106	9,693	207	10,006	11	95	31	137	298	26,603	508	27,409
2024-06	전남	장성군	82	19,088	229	19,399	45	726	83	854	94	8,201	908	9,203	3	117	91	211	224	28,132	1,311	29,667
2024-06	전남	장흥군	90	13,251	93	13,434	74	545	48	667	106	7,099	282	7,487	7	60	34	101	277	20,955	457	21,689
2024-06	전남	진도군	77	11,094	90	11,261	50	521	60	631	93	6,309	143	6,545	8	60	22	90	228	17,984	315	18,527
2024-06	전남	함평군	69	12,307	6,186	18,562	53	517	126	696	91	6,565	199	6,855	11	88	25	124	224	19,477	6,536	26,237
2024-06	전남	해남군	112	24,349	82,562	107,023	81	1,614	1,070	2,765	139	15,542	233	15,914	10	120	44	174	342	41,625	83,909	125,876
2024-06	전남	화순군	97	25,561	451	26,109	52	923	925	1,900	101	8,054	506	8,661	9	155	151	315	259	34,693	2,033	36,985
2024-06	전남	계	2,359	756,342	200,328	959,029	1,711	26,346	8,136	36,193	2,749	233,852	21,164	257,765	226	3,940	5,155	9,321	7,045	1,020,480	234,783	1,262,308
2024-06	경북	경산시	143	119,217	925	120,285	98	2,993	376	3,467	132	22,001	2,760	24,893	13	411	387	811	386	144,622	4,448	149,456
2024-06	경북	경주시	212	118,705	1,717	120,634	148	3,746	540	4,434	228	25,939	1,974	28,141	15	540	374	929	603	148,930	4,605	154,138
2024-06	경북	고령군	62	14,399	37	14,498	32	661	55	748	70	6,483	675	7,228	17	80	53	150	181	21,623	820	22,624
2024-06	경북	구미시	191	191,797	2,532	194,520	108	4,949	773	5,830	227	25,899	3,637	29,763	20	632	465	1,117	546	223,277	7,407	231,230
2024-06	경북	군위군	0	19	2	21	0	4	0	4	0	27	3	30	0	0	0	0	0	50	5	55
2024-06	경북	김천시	143	58,294	621	59,058	87	2,018	266	2,371	161	17,931	1,074	19,166	18	239	179	436	409	78,482	2,140	81,031
2024-06	경북	문경시	95	27,172	384	27,651	55	1,190	118	1,363	134	10,423	281	10,838	11	143	96	250	295	38,928	879	40,102
2024-06	경북	봉화군	96	11,149	53	11,298	51	425	41	517	87	7,001	88	7,176	16	49	14	79	250	18,624	196	19,070
2024-06	경북	상주시	117	36,971	401	37,489	88	1,620	253	1,961	192	17,286	1,052	18,530	16	202	168	386	413	56,079	1,874	58,366
2024-06	경북	성주군	70	20,214	127	20,411	43	790	46	879	86	11,355	980	12,421	15	128	145	288	214	32,487	1,298	33,999
2024-06	경북	안동시	253	64,400	910	65,563	244	2,137	312	2,693	262	19,292	1,195	20,749	48	330	227	605	807	86,159	2,644	89,610
2024-06	경북	영덕군	72	12,884	110	13,066	50	599	56	705	122	6,012	116	6,250	16	77	27	120	260	19,572	309	20,141
2024-06	경북	영양군	54	6,065	36	6,155	31	285	27	343	60	3,877	47	3,984	2	34	7	43	147	10,261	117	10,525
2024-06	경북	영주시	134	41,243	481	41,858	77	1,579	145	1,801	148	14,709	745	15,602	26	220	160	406	385	57,751	1,531	59,667
2024-06	경북	영천시	127	45,499	408	46,034	83	1,718	245	2,046	130	16,435	1,508	18,073	17	231	355	603	357	63,883	2,516	66,756
2024-06	경북	예천군	103	23,013	166	23,282	62	704	77	843	113	8,644	201	8,958	20	110	44	174	298	32,471	488	33,257
2024-06	경북	울릉군	58	4,366	340	4,764	21	264	196	481	63	1,419	31	1,513	8	26	2	36	150	6,075	569	6,794
2024-06	경북	울진군	134	20,333	118	20,585	58	624	83	765	122	6,638	127	6,887	15	118	38	171	329	27,713	366	28,408
2024-06	경북	의성군	79	19,629	87	19,795	80	841	84	1,005	125	12,208	848	13,181	10	113	101	224	294	32,791	1,120	34,205
2024-06	경북	청도군	78	17,819	158	18,055	42	620	52	714	92	7,809	593	8,494	14	94	168	276	226	26,342	971	27,539
2024-06	경북	청송군	60	9,927	40	10,027	67	453	42	562	83	5,984	114	6,181	10	72	13	95	220	16,436	209	16,865
2024-06	경북	칠곡군	123	56,166	272	56,561	66	1,836	341	2,243	111	12,966	1,573	14,650	14	257	310	581	314	71,225	2,496	74,035
2024-06	경북	포항시 남구	133	104,860	1,363	106,356	85	2,915	769	3,769	212	18,117	4,261	22,590	13	449	1,733	2,195	443	126,341	8,126	134,910
2024-06	경북	포항시 북구	163	127,260	2,107	129,530	92	2,905	321	3,318	100	18,104	1,055	19,259	26	444	303	773	381	148,713	3,786	152,880
2024-06	경북	계	2,700	1,151,401	13,395	1,167,496	1,768	35,876	5,218	42,862	3,060	296,559	24,938	324,557	380	4,999	5,369	10,748	7,908	1,488,835	48,920	1,545,663
2024-06	경남	거제시	123	95,358	1,021	96,502	90	2,866	470	3,426	138	12,024	500	12,662	15	309	161	485	366	110,557	2,152	113,075
2024-06	경남	거창군	102	24,516	190	24,808	70	850	169	1,089	106	9,354	252	9,712	12	80	177	269	290	34,800	788	35,878
2024-06	경남	고성군	63	19,818	195	20,076	62	729	89	880	98	7,377	206	7,681	10	119	69	198	233	28,043	559	28,835
2024-06	경남	김해시	258	243,710	2,299	246,267	171	6,118	530	6,819	236	40,914	4,619	45,769	36	824	576	1,436	701	291,566	8,024	300,291
2024-06	경남	남해군	106	14,076	146	14,328	54	535	111	700	136	6,186	157	6,479	9	63	30	102	305	20,860	444	21,609
2024-06	경남	밀양시	110	43,604	482	44,196	92	1,401	193	1,686	108	13,677	2,599	16,384	14	192	630	836	324	58,874	3,904	63,102
2024-06	경남	사천시	101	47,955	678	48,734	79	1,438	239	1,756	138	10,497	536	11,171	17	182	116	315	335	60,072	1,569	61,976
2024-06	경남	산청군	91	13,678	65	13,834	62	510	55	627	97	7,185	487	7,769	8	141	149	298	258	21,514	756	22,528
2024-06	경남	양산시	168	152,216	1,123	153,507	98	4,188	794	5,080	148	22,398	7,172	29,718	21	653	1,549	2,223	435	179,455	10,638	190,528
2024-06	경남	의령군	65	10,453	56	10,574	52	385	45	482	89	4,571	549	5,209	14	58	104	176	220	15,467	754	16,441
2024-06	경남	진주시	212	143,539	2,870	146,621	174	3,282	1,018	4,474	240	26,847	2,369	29,456	34	494	428	956	660	174,162	6,685	181,507
2024-06	경남	창녕군	70	25,028	180	25,278	73	1,039	111	1,223	95	10,361	412	10,868	10	142	66	218	248	36,570	769	37,587
2024-06	경남	창원시 마산합포구	139	89,391	1,269	90,799	65	1,937	475	2,477	136	10,541	985	11,662	16	156	152	324	356	102,025	2,881	105,262
2024-06	경남	창원시 마산회원구	66	94,580	5,533	100,179	32	1,888	409	2,329	53	10,944	1,660	12,657	4	206	229	439	155	107,618	7,831	115,604
2024-06	경남	창원시 성산구	238	159,217	60,311	219,766	220	2,094	1,135	3,449	143	10,563	990	11,696	15	208	178	401	616	172,082	62,614	235,312
2024-06	경남	창원시 의창구	218	100,343	1,753	102,314	178	2,207	277	2,662	137	16,665	1,449	18,251	18	297	348	663	551	119,512	3,827	123,890
2024-06	경남	창원시 진해구	92	87,126	720	87,938	36	1,928	168	2,132	90	7,874	973	8,937	14	270	262	546	232	97,198	2,123	99,553
2024-06	경남	통영시	100	43,091	695	43,886	82	1,676	232	1,990	120	8,870	345	9,335	16	160	73	249	318	53,797	1,345	55,460
2024-06	경남	하동군	60	16,165	88	16,313	65	543	43	651	105	7,826	166	8,097	11	78	85	174	241	24,612	382	25,235
2024-06	경남	함안군	81	33,375	35,333	68,789	54	1,059	386	1,499	82	10,265	527	10,874	6	248	229	483	223	44,947	36,475	81,645
2024-06	경남	함양군	59	13,489	374	13,922	53	486	85	624	122	6,553	152	6,827	11	75	27	113	245	20,603	638	21,486
2024-06	경남	합천군	85	15,696	111	15,892	58	603	77	738	139	8,156	405	8,700	14	86	76	176	296	24,541	669	25,506
2024-06	경남	계	2,607	1,486,424	115,492	1,604,523	1,920	37,762	7,111	46,793	2,756	269,648	27,510	299,914	325	5,041	5,714	11,080	7,608	1,798,875	155,827	1,962,310
2024-06	제주	서귀포시	253	77,476	943	78,672	137	2,851	150	3,138	344	27,045	641	28,030	42	241	142	425	776	107,613	1,876	110,265
2024-06	제주	제주시	622	251,300	268,194	520,116	354	7,131	6,401	13,886	695	57,939	3,568	62,202	38	1,213	595	1,846	1,709	317,583	278,758	598,050
2024-06	제주	계	875	328,776	269,137	598,788	491	9,982	6,551	17,024	1,039	84,984	4,209	90,232	80	1,454	737	2,271	2,485	425,196	280,634	708,315
2024-06	강원	강릉시	156	93,912	2,521	96,589	147	2,554	520	3,221	269	18,225	1,429	19,923	38	407	455	900	610	115,098	4,925	120,633
2024-06	강원	고성군	49	11,872	78	11,999	48	451	37	536	103	4,019	91	4,213	6	51	28	85	206	16,393	234	16,833
2024-06	강원	동해시	107	39,760	680	40,547	75	1,218	153	1,446	130	6,937	511	7,578	13	172	221	406	325	48,087	1,565	49,977
2024-06	강원	삼척시	118	26,273	483	26,874	103	816	122	1,041	184	6,771	181	7,136	10	141	44	195	415	34,001	830	35,246
2024-06	강원	속초시	110	34,184	948	35,242	89	1,079	149	1,317	111	5,385	307	5,803	7	146	95	248	317	40,794	1,499	42,610
2024-06	강원	양구군	52	8,811	63	8,926	53	314	30	397	109	3,361	50	3,520	10	53	16	79	224	12,539	159	12,922
2024-06	강원	양양군	45	12,450	167	12,662	42	414	24	480	122	4,167	71	4,360	12	80	20	112	221	17,111	282	17,614
2024-06	강원	영월군	132	15,146	151	15,429	80	635	59	774	127	6,244	129	6,500	13	123	54	190	352	22,148	393	22,893
2024-06	강원	원주시	217	160,007	2,843	163,067	167	4,284	513	4,964	235	26,814	2,281	29,330	25	661	372	1,058	644	191,766	6,009	198,419
2024-06	강원	인제군	56	14,625	92	14,773	54	456	63	573	119	4,994	109	5,222	9	83	30	122	238	20,158	294	20,690
2024-06	강원	정선군	111	14,197	230	14,538	93	566	74	733	144	6,182	153	6,479	19	99	35	153	367	21,044	492	21,903
2024-06	강원	철원군	55	17,050	201	17,306	67	670	53	790	139	7,022	142	7,303	14	83	21	118	275	24,825	417	25,517
2024-06	강원	춘천시	358	121,032	2,500	123,890	279	3,100	607	3,986	266	18,671	2,748	21,685	21	511	412	944	924	143,314	6,267	150,505
2024-06	강원	태백시	61	16,166	385	16,612	63	609	121	793	117	3,343	133	3,593	10	127	39	176	251	20,245	678	21,174
2024-06	강원	평창군	102	17,704	281	18,087	84	784	97	965	123	8,674	143	8,940	20	95	57	172	329	27,257	578	28,164
2024-06	강원	홍천군	121	28,132	259	28,512	114	1,220	267	1,601	179	11,791	450	12,420	22	147	68	237	436	41,290	1,044	42,770
2024-06	강원	화천군	57	9,855	59	9,971	61	287	45	393	103	3,300	52	3,455	10	58	23	91	231	13,500	179	13,910
2024-06	강원	횡성군	89	19,339	505	19,933	67	820	81	968	127	8,636	272	9,035	13	125	50	188	296	28,920	908	30,124
2024-06	강원	계	1,996	660,515	12,446	674,957	1,686	20,277	3,015	24,978	2,707	154,536	9,252	166,495	272	3,162	2,040	5,474	6,661	838,490	26,753	871,904
2024-06	전북	고창군	105	20,163	166	20,434	66	1,263	99	1,428	155	10,668	274	11,097	14	104	48	166	340	32,198	587	33,125
2024-06	전북	군산시	210	115,647	2,055	117,912	129	3,052	525	3,706	211	19,334	3,125	22,670	18	475	704	1,197	568	138,508	6,409	145,485
2024-06	전북	김제시	115	33,776	584	34,475	69	1,472	132	1,673	145	13,604	1,033	14,782	8	251	152	411	337	49,103	1,901	51,341
2024-06	전북	남원시	138	29,381	539	30,058	103	1,154	172	1,429	182	12,504	449	13,135	18	176	67	261	441	43,215	1,227	44,883
2024-06	전북	무주군	71	8,895	59	9,025	41	458	58	557	100	4,440	246	4,786	7	46	38	91	219	13,839	401	14,459
2024-06	전북	부안군	88	18,906	182	19,176	61	818	115	994	129	8,685	270	9,084	12	105	52	169	290	28,514	619	29,423
2024-06	전북	순창군	68	10,245	79	10,392	61	393	28	482	99	5,214	64	5,377	9	47	18	74	237	15,899	189	16,325
2024-06	전북	완주군	111	46,045	236	46,392	122	1,637	424	2,183	206	12,323	2,337	14,866	26	255	209	490	465	60,260	3,206	63,931
2024-06	전북	익산시	181	113,414	1,869	115,464	144	3,892	494	4,530	215	24,404	3,106	27,725	16	413	431	860	556	142,123	5,900	148,579
2024-06	전북	임실군	79	9,724	58	9,861	57	422	70	549	120	4,956	273	5,349	8	64	25	97	264	15,166	426	15,856
2024-06	전북	장수군	75	7,865	34	7,974	41	352	22	415	114	4,433	77	4,624	6	52	18	76	236	12,702	151	13,089
2024-06	전북	전주시 덕진구	139	152,806	3,203	156,148	100	3,411	939	4,450	125	19,348	2,629	22,102	14	515	406	935	378	176,080	7,177	183,635
2024-06	전북	전주시 완산구	332	136,769	1,975	139,076	238	3,087	545	3,870	206	15,989	1,512	17,707	28	337	246	611	804	156,182	4,278	161,264
2024-06	전북	정읍시	109	40,871	2,049	43,029	110	1,601	200	1,911	164	14,994	878	16,036	7	230	135	372	390	57,696	3,262	61,348
2024-06	전북	진안군	105	9,561	56	9,722	56	421	95	572	110	5,049	104	5,263	14	57	17	88	285	15,088	272	15,645
2024-06	전북	계	1,926	754,068	13,144	769,138	1,398	23,433	3,918	28,749	2,281	175,945	16,377	194,603	205	3,127	2,566	5,898	5,810	956,573	36,005	998,388